Lot_No,Mfg_Date,Year,Origin,Total_protein,Albumin,Globulin,Bilirubin,ALT,AST,Glucose,Urea,Creatinine,Sodium,Potassium,Calcium,Phosphorus,Osmolality,Hemoglobin,pH,IgG,Endotoxin
20130527FS,05/2013,2013,Mexico,33,7,26,0.3,10,73,76,14,2.5,126,10.3,12.3,8.7,284,10,7.68,260,6.42
20131007FS,10/2013,2013,Mexico,37,8,2.9,0.5,11,87,94,15,2.6,134,10.6,13.1,9.6,295,18.5,7.5,267,3
20140225FS,02/2014,2014,Mexico,36,8,2.8,0.4,8,71,88,15,2.5,133,10.3,13.7,9.1,300,14.3,7.77,171,10
20160511FS,05/2016,2016,Nicaragua,38,2.2,1.6,0.4,8,65,53,,3.2,137,10.6,13.9,9.1,302,13.6,7.6,69.9,0.5
20130723FS,07/2013,2013,USA,37,8,2.9,0.4,6,22,136,14,2.6,139,10,14.2,8.9,301,10.1,7.66,153,1.2
20131021FS,10/2013,2013,USA,36,8,2.8,0.3,6,25,140,14,2.6,127,9.7,12.5,8.9,280,10.4,7.78,147,6
20131124FS,11/2013,2013,USA,38,8,3,0.4,8,58,106,14,2.8,137,10,13.7,9.4,304,16.8,7.75,91,1
20140106FS,01/2014,2014,USA,36,8,2.8,0.5,8,84,96,14,2.8,126,9.5,13.6,8.9,301,14.2,7.62,178,0.9
20140319FS,03/2014,2014,USA,33,8,2.5,0.4,7,111,94,13,2.3,137,10.7,13.9,10,312,10.2,7.44,144,0.3
20140603FS,05/2013,2013,USA,34,9,2.5,0.3,6,70,73,16,2.2,135,9.5,13.2,9.6,307,8.3,7.3,83.1,1
20140611FS,06/2014,2014,USA,36,8,2.8,0.6,9,107,89,15,2.3,135,11,13.8,9.9,311,10,7.39,113,0.1
20140616FS,06/2014,2014,USA,35,8,2.7,0.4,8,93,95,14,2.3,131,10.2,13.4,9.2,292,9.2,7.36,92.3,1
20140930FS,09/2014,2014,USA,37,2.2,1.5,0.2,6,52,107,15,2.5,137,10,14.3,10.6,300,13.5,7.3,123,0.08
20150130FS,01/2015,2015,USA,37,2.4,1.3,0.4,11,81,86,14,2.5,138,10.1,13.7,9.3,302,9.9,7.29,89.1,1
20150428FS,04/2015,2015,USA,37,2,1.7,0.4,12,71,110,16,2.6,135,10.3,13.6,9.1,302,9.87,7.6,71,5
20160328FS,03/2016,2016,USA,38,2.1,1.7,0.4,6,34,111,15,3,138,10,13.9,9.9,309,12.7,7.4,96.3,1
20160331FS,03/2016,2016,USA,35,2.2,1.3,0.3,6,39,108,15,2.6,136,10,13.6,9.8,298,11.6,7.2,102,0.2
20160804FS,08/2016,2016,USA,37,2.1,1.6,0.4,12,94,108,15,2.9,136,11.6,14,10.5,304,12.4,7.6,70.9,0.3
20161207FS,12/2016,2016,USA,34,2.1,1.3,0.3,6,71,105,14,2.4,134,10,12.8,9.4,305,15.9,7.2,100,0.8
20170220FS,02/2017,2017,USA,37,2,1.7,0.3,6,34,95,16,2.9,142,9.8,13.8,9.3,307,4.6,7.4,140.5,0.25
20170329FS,03/2017,2017,USA,35,2.1,1.4,0.3,5,37,99,14,2.5,136,10,13.5,9.5,306,13.3,7.2,89,0.1
20170710FS,07/2017,2017,USA,39,0.9,3,0.3,7,60,119,15,2.9,131,10,13.5,9.2,308,8.4,7.2,81,0.6
20161005FS,10/2016,2016,USDA,40,2.2,1.8,0.6,14,88,107,13,2.6,135,10.1,12.7,8.8,301,21,7.7,337.6,0.6
20170327FS,03/2017,2017,USDA,38,2.2,1.6,0.6,8,60,58,21,3.1,136,10.9,14.1,8.7,302,14.8,7.3,68.4,0.25
20170420FS,04/2017,2017,USDA,37,2.1,1.6,0.6,12,91,138,12,2.1,131,9.5,11.7,7.8,283,23.9,7.8,524,0.5
