NAME-F,PLAYER,POS,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
Aaron,Brooks,PG,18,0,15.3,8.1,0.6,1.4,1.9,2.2,0.28,0.22,0.9,1.9,2.5,16.2,2.9,7.2,0.411,1.2,3.2,0.368,1.1,1.2,0.86,1.7,4,0.444,1.132,0.49
Aaron,Gordon,PF,28,0,18.6,6.9,1.6,3,4.6,1.2,0.71,0.79,0.9,2,1.3,16.6,2.6,5.6,0.462,0.4,1.3,0.333,1.3,1.9,0.69,2.2,4.3,0.5,1.237,0.5
Aaron,Harrison,SG,5,0,4.6,1.4,0.2,0.6,0.8,0,0.2,0,0.2,0,0,12.1,0.4,0.6,0.667,0.2,0.2,1,0.4,1.2,0.33,0.2,0.4,0.5,2.333,0.83
Adreian,Payne,PF,21,2,9.8,2.7,0.4,2,2.5,0.5,0.24,0.19,0.8,1.8,0.6,6.7,1.1,2.6,0.418,0.2,0.6,0.417,0.3,0.4,0.75,0.9,2,0.419,1.036,0.46
Al,Horford,C,31,31,31.3,15,2,4.9,6.9,2.9,0.77,1.39,1.5,1.9,2,19.3,6.3,13.1,0.484,1,3,0.319,1.4,1.7,0.83,5.3,10.1,0.534,1.151,0.52
Al,Jefferson,C,17,17,26.2,13.7,1.3,5.1,6.4,1.8,0.76,1.06,0.7,2.3,2.5,19.7,6.2,12.4,0.5,0,0,0,1.4,2.2,0.61,6.2,12.4,0.5,1.11,0.5
Al-Farouq,Aminu,SF,31,31,30.2,10.9,1.3,5.6,6.9,1.6,0.81,0.65,1.8,2.4,0.9,12.2,3.8,9.5,0.403,1.6,4.2,0.377,1.6,2.2,0.74,2.2,5.3,0.424,1.142,0.49
Alec,Burks,SG,27,3,27.5,14.4,0.6,3,3.6,2.1,0.56,0.15,1.7,2.5,1.3,14.9,4.7,11.9,0.4,1,2.7,0.378,3.9,5.1,0.76,3.7,9.2,0.407,1.219,0.44
Alex,Len,C,31,12,18.8,7.3,1.9,4,5.9,0.7,0.58,0.9,1.4,2.2,0.5,15.5,2.7,5.7,0.483,0,0.1,0.333,1.8,2.5,0.7,2.7,5.6,0.486,1.284,0.49
Alexis,Ajinca,C,21,6,12.8,5.2,1.2,2.8,4,0.3,0.19,0.48,0.7,2.3,0.5,14.3,2.4,4.7,0.515,0,0,0,0.4,0.4,0.89,2.4,4.7,0.515,1.111,0.52
Allen,Crabbe,SF,31,2,24.7,10.2,0.3,2,2.3,1.1,0.68,0.13,0.9,2.4,1.3,12.1,4,8.5,0.466,1.2,3.4,0.346,1.1,1.3,0.8,2.8,5.1,0.544,1.193,0.53
Alonzo,Gee,SF,28,20,21.5,4.1,0.7,2.3,3,1,0.96,0.21,0.9,2.7,1.2,8,1.8,3.3,0.527,0.3,0.9,0.333,0.3,0.4,0.8,1.5,2.4,0.594,1.226,0.57
Amar'e,Stoudemire,PF,3,0,9,4.3,1,1,2,0.3,0,0.33,0.3,0.7,1,21.1,1.7,3,0.556,0,0,0,1,1.3,0.75,1.7,3,0.556,1.444,0.56
Amir,Johnson,PF,27,24,23.4,7.5,1.8,3.9,5.7,1.6,0.7,1.26,1.4,2.7,1.1,14.4,3.2,5.9,0.541,0.3,1,0.269,0.9,1.6,0.56,2.9,4.9,0.594,1.277,0.56
Anderson,Varejao,PF,22,0,8.7,2.1,0.7,1.8,2.5,0.5,0.23,0.14,0.4,0.9,1.1,10.4,0.8,2,0.4,0,0,0,0.5,0.6,0.77,0.8,2,0.409,1.022,0.4
Andre,Drummond,C,30,30,35.1,18.2,5.5,10.5,16.1,1,1.9,1.53,2.3,3.2,0.4,23.8,7.7,14.7,0.523,0,0.1,0.5,2.8,7.5,0.38,7.7,14.6,0.523,1.241,0.52
Andre,Iguodala,SF,28,0,27.8,7.6,1.1,3.5,4.6,3.5,1.46,0.29,1.1,1.6,3,14.3,3,6.2,0.491,1,2.6,0.403,0.5,0.8,0.65,2,3.6,0.554,1.237,0.58
Andre,Miller,PG,15,0,12.5,3.9,0.3,0.7,1.1,2.7,0.6,0,0.9,1.7,2.9,15.4,1.6,2.7,0.585,0.1,0.1,0.5,0.6,0.8,0.75,1.5,2.6,0.59,1.415,0.6
Andre,Roberson,SG,28,28,22.5,4.9,1.1,2.3,3.4,0.8,0.86,0.68,0.7,1.8,1.2,10.4,2,4.3,0.479,0.4,1.6,0.267,0.4,0.8,0.57,1.6,2.7,0.608,1.16,0.53
Andrea,Bargnani,C,25,0,15.2,8,0.8,1.8,2.7,0.3,0.08,0.24,0.8,1.7,0.3,12.7,3.2,7.3,0.445,0.1,0.5,0.167,1.4,1.7,0.84,3.1,6.8,0.465,1.099,0.45
Andrew,Bogut,C,21,17,19.8,5.6,1.7,5.3,7,2.3,0.38,1.76,1.1,3,2,17.6,2.6,4.1,0.64,0,0,0,0.4,0.9,0.44,2.6,4.1,0.64,1.372,0.64
Andrew,Nicholson,PF,20,0,18.7,8.2,0.8,3.6,4.4,0.2,0.25,0.45,1.1,1.6,0.2,13.6,3.1,6.8,0.459,1,2.4,0.417,1,1.2,0.87,2.1,4.4,0.483,1.215,0.53
Andrew,Wiggins,SG,28,28,34.7,20.9,1.5,2.1,3.6,1.7,0.57,0.64,2.3,2.2,0.7,16.1,7.2,16.6,0.433,0.6,2.6,0.25,5.8,7.6,0.76,6.6,14,0.467,1.253,0.45
Anthony,Bennett,PF,10,0,5.8,1.9,0.5,1.2,1.7,0,0.3,0,0.4,0.8,0,8.1,0.5,1.9,0.263,0.2,1.1,0.182,0.7,0.8,0.88,0.3,0.8,0.375,1,0.32
Anthony,Brown,SF,7,1,9.3,1.6,0.1,0.4,0.6,0.6,0.57,0,0.4,0.7,1.3,0.5,0.6,2.9,0.2,0.1,1.6,0.091,0.3,0.3,1,0.5,1.3,0.333,0.55,0.23
Anthony,Davis,PF,25,25,35.8,23.4,1.9,8.8,10.8,1.4,1.24,2.72,2.2,2.4,0.7,25.1,8.6,17.6,0.49,0.5,1.7,0.302,5.6,7.3,0.76,8.1,15.9,0.51,1.324,0.5
Anthony,Morrow,SG,27,4,15.6,5.4,0.2,0.9,1.1,0.4,0.48,0.07,0.3,0.8,1.2,9.9,2,5,0.393,1.1,2.9,0.397,0.3,0.3,0.89,0.9,2.1,0.386,1.074,0.51
Anthony,Tolliver,PF,29,0,20.2,4.6,0.6,2.9,3.5,0.8,0.45,0.28,0.3,1.3,3,8.8,1.6,4.5,0.344,1.2,3.6,0.34,0.3,0.5,0.53,0.4,0.9,0.357,1.015,0.48
Archie,Goodwin,SG,15,0,11.2,5.1,0.1,2.1,2.2,0.9,0.27,0.07,0.9,0.6,1,14,1.7,3.4,0.51,0.1,0.8,0.167,1.5,2.8,0.55,1.6,2.6,0.615,1.51,0.53
Aron,Baynes,C,29,0,13.4,4.6,1.6,2.4,4,0.7,0.28,0.38,0.9,1.7,0.8,13.5,1.9,4.2,0.455,0,0,0,0.8,1.2,0.67,1.9,4.2,0.458,1.107,0.45
Arron,Afflalo,SG,22,22,31,13.8,0.4,3.6,4,1.8,0.23,0.14,1,2.3,1.9,13.7,5.6,11.8,0.479,1.1,3.5,0.325,1.4,1.7,0.82,4.5,8.3,0.544,1.174,0.53
Austin,Rivers,PG,28,5,22.1,7,0.5,1.5,2,1.3,0.71,0.18,0.9,2.1,1.3,8,2.8,6.8,0.408,0.5,2.4,0.212,1,1.5,0.64,2.3,4.4,0.512,1.031,0.45
Avery,Bradley,PG,27,23,31.8,15.4,0.4,1.9,2.4,1.9,1.56,0.3,1.6,2.2,1.2,14.3,5.9,13.2,0.448,2.4,5.9,0.405,1.2,1.5,0.8,3.5,7.3,0.482,1.165,0.54
Ben,McLemore,SG,29,23,21.6,7.9,0.5,1.7,2.2,1.1,0.97,0.14,1.4,2,0.8,10.7,2.9,6.3,0.464,0.9,2.3,0.409,1.1,1.4,0.78,2,4,0.496,1.251,0.54
Beno,Udrih,PG,21,1,14.07142857,4.661904762,0.238095238,1.147619048,1.347619048,2.185714286,0.237619048,0.04952381,1.028571429,1.214285714,2.028571429,11.26666667,1.942857143,4.19047619,0.482666667,0.314285714,0.904761905,0.293428571,0.461904762,0.523809524,0.925714286,1.628571429,3.285714286,0.530666667,1.159428571,0.517142857
Bismack,Biyombo,C,30,16,24,5.4,2.7,6.2,8.9,0.2,0.23,1.37,1.1,2.9,0.2,12.8,1.8,3.9,0.458,0,0,0,1.8,2.6,0.67,1.8,3.9,0.458,1.364,0.46
Blake,Griffin,PF,29,29,34.9,23.6,1.6,7,8.6,4.9,0.69,0.55,2.2,2.8,2.2,24.4,9.5,18.5,0.512,0.2,0.6,0.375,4.4,6.1,0.73,9.3,17.9,0.516,1.274,0.52
Boban,Marjanovic,C,15,1,5.4,3.7,0.9,1.1,2.1,0.2,0.13,0.27,0.5,0.9,0.4,28.5,1.4,2.3,0.618,0,0,0,0.9,1.3,0.68,1.4,2.3,0.618,1.618,0.62
Bobby,Portis,PF,6,0,10.7,7.8,1,1.8,2.8,0.5,0.67,0.17,0.8,0.8,0.6,22.5,3.5,7.3,0.477,0.3,0.8,0.4,0.5,1,0.5,3.2,6.5,0.487,1.068,0.5
